id,sprites,fr_name,en_name,jpn_name,health,type1,type2,speed,height_m,weight_kg,percentage_male,class,attack,defense,sp_attack,sp_defense,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,experience_growth,generation,is_legendary,level,trainer
1,001_LGPE.png,Bulbizarre,Bulbasaur,Fushigidane?????,45,grass,poison,45,0.7,6.9,88.1,Seed Pokémon,49,49,65,65,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,318,45,1059860,1,0,,
2,002_LGPE.png,Herbizarre,Ivysaur,Fushigisou?????,60,grass,poison,60,1,13,88.1,Seed Pokémon,62,63,80,80,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,405,45,1059860,1,0,,
3,003_LGPE.png;003_Méga.png,Florizarre;Méga-Florizarre,Venusaur,Fushigibana?????,80,grass,poison,80,2,100,88.1,Seed Pokémon,100,123,122,120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,625,45,1059860,1,0,,
4,004_LGPE.png,Salamèche,Charmander,Hitokage????,39,fire,,65,0.6,8.5,88.1,Lizard Pokémon,52,43,60,50,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,309,45,1059860,1,0,,
5,005_LGPE.png,Reptincel,Charmeleon,Lizardo????,58,fire,,80,1.1,19,88.1,Flame Pokémon,64,58,80,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,405,45,1059860,1,0,,
6,006_LGPE.png;006_Méga_X.png;006_Méga_Y.png;006_Gigamax_EB.png,Dracaufeu;Méga-Dracaufeu X;Méga-Dracaufeu Y;Dracaufeu Gigamax,Charizard,Lizardon?????,78,fire,flying,100,1.7,90.5,88.1,Flame Pokémon,104,78,159,115,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,5120,70,634,45,1059860,1,0,,
7,007_LGPE.png,Carapuce,Squirtle,Zenigame????,44,water,,43,0.5,9,88.1,Tiny Turtle Pokémon,48,65,50,64,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,314,45,1059860,1,0,,
8,008_LGPE.png,Carabaffe,Wartortle,Kameil????,59,water,,58,1,22.5,88.1,Turtle Pokémon,63,80,65,80,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,405,45,1059860,1,0,,
9,009_LGPE.png;009_Méga.png,Tortank;Méga-Tortank,Blastoise,Kamex?????,79,water,,78,1.6,85.5,88.1,Shellfish Pokémon,103,120,135,115,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,630,45,1059860,1,0,,
10,010_LGPE.png,Chenipan,Caterpie,Caterpie?????,45,bug,,45,0.3,2.9,50,Worm Pokémon,30,35,20,20,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,195,255,1000000,1,0,,
11,011_LGPE.png,Chrysacier,Metapod,Transel?????,50,bug,,30,0.7,9.9,50,Cocoon Pokémon,20,55,25,25,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,205,120,1000000,1,0,,
12,012_EB.png,Papilusion,Butterfree,Butterfree?????,60,bug,flying,70,1.1,32,50,Butterfly Pokémon,45,50,90,80,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,395,45,1000000,1,0,,
13,013_LGPE.png,Aspicot,Weedle,Beedle????,40,bug,poison,50,0.3,3.2,50,Hairy Pokémon,35,30,20,20,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,195,255,1000000,1,0,,
14,014_LGPE.png,Coconfort,Kakuna,Cocoon????,45,bug,poison,35,0.6,10,50,Cocoon Pokémon,25,50,25,25,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,205,120,1000000,1,0,,
15,015_LGPE.png;015_Méga.png,Dardargnan;Méga-Dardargnan,Beedrill,Spear????,65,bug,poison,145,1,29.5,50,Poison Bee Pokémon,150,40,15,80,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,495,45,1000000,1,0,,
16,016_LGPE.png,Roucool,Pidgey,Poppo???,40,normal,flying,56,0.3,1.8,50,Tiny Bird Pokémon,45,40,35,35,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,251,255,1059860,1,0,,
17,017_LGPE.png,Roucoups,Pidgeotto,Pigeon????,63,normal,flying,71,1.1,30,50,Bird Pokémon,60,55,50,50,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,349,120,1059860,1,0,,
18,018_LGPE.png;018_Méga.png,Roucarnage;Méga-Roucarnage,Pidgeot,Pigeot?????,83,normal,flying,121,1.5,39.5,50,Bird Pokémon,80,80,135,80,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,579,45,1059860,1,0,,
19,019_LGPE.png;019_Alola_LGPE.png,Rattata;Rattata d'Alola,Rattata,Koratta????,30,normal,dark,72,,,50,Mouse Pokémon,56,35,25,35,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,253,255,1000000,1,0,,
20,020_LGPE.png;020_Alola_LGPE.png,Rattatac;Rattatac d'Alola,Raticate,Ratta???,75,normal,dark,77,,,50,Mouse Pokémon,71,70,40,80,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,413,127,1000000,1,0,,
21,021_LGPE.png,Piafabec,Spearow,Onisuzume?????,40,normal,flying,70,0.3,2,50,Tiny Bird Pokémon,60,30,31,31,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,262,255,1000000,1,0,,
22,022_LGPE.png,Rapasdepic,Fearow,Onidrill?????,65,normal,flying,100,1.2,38,50,Beak Pokémon,90,65,61,61,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,442,90,1000000,1,0,,
23,023_LGPE.png,Abo,Ekans,Arbo???,35,poison,,55,2,6.9,50,Snake Pokémon,60,44,40,54,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,288,255,1000000,1,0,,
24,024_LGPE.png,Arbok,Arbok,Arbok?????,60,poison,,80,3.5,65,50,Cobra Pokémon,95,69,65,79,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,448,90,1000000,1,0,,
25,025_LGPE.png;025_Gigamax_EB.png,Pikachu;Pikachu Gigamax,Pikachu,Pikachu?????,35,electric,,90,0.4,6,50,Mouse Pokémon,55,40,50,50,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,320,190,1000000,1,0,,
26,026_EB.png;026_Alola_LGPE.png,Raichu;Raichu d'Alola,Raichu,Raichu?????,60,electric,electric,110,,,50,Mouse Pokémon,85,50,95,85,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,485,75,1000000,1,0,,
27,027_LGPE.png;027_Alola_LGPE.png,Sabelette;Sabelette d'Alola,Sandshrew,Sand???,50,ground,ice,40,,,50,Mouse Pokémon,75,90,10,35,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,300,255,1000000,1,0,,
28,028_LGPE.png;028_Alola_LGPE.png,Sablaireau;Sablaireau d'Alola,Sandslash,Sandpan?????,75,ground,ice,65,,,50,Mouse Pokémon,100,120,25,65,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,450,90,1000000,1,0,,
29,029_LGPE.png,Nidoran?,Nidoran?,Nidoran??????,55,poison,,41,0.4,7,0,Poison Pin Pokémon,47,52,40,40,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,275,235,1059860,1,0,,
30,030_LGPE.png,Nidorina,Nidorina,Nidorina?????,70,poison,,56,0.8,20,0,Poison Pin Pokémon,62,67,55,55,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,1059860,1,0,,
31,031_LGPE.png,Nidoqueen,Nidoqueen,Nidoqueen?????,90,poison,ground,76,1.3,60,0,Drill Pokémon,92,87,75,85,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,1059860,1,0,,
32,032_LGPE.png,Nidoran?,Nidoran?,Nidoran??????,46,poison,,50,0.5,9,100,Poison Pin Pokémon,57,40,40,40,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,273,235,1059860,1,0,,
33,033_LGPE.png,Nidorino,Nidorino,Nidorino?????,61,poison,,65,0.9,19.5,100,Poison Pin Pokémon,72,57,55,55,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,1059860,1,0,,
34,034_LGPE.png,Nidoking,Nidoking,Nidoking?????,81,poison,ground,85,1.4,62,100,Drill Pokémon,102,77,85,75,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,1059860,1,0,,
35,035_LGPE.png,Mélofée,Clefairy,Pippi???,70,fairy,,35,0.6,7.5,24.6,Fairy Pokémon,45,48,60,65,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,323,150,800000,1,0,,
36,036_LGPE.png,Mélodelfe,Clefable,Pixy????,95,fairy,,60,1.3,40,24.6,Fairy Pokémon,70,73,95,90,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,483,25,800000,1,0,,
37,037_LGPE.png;037_Alola_LGPE.png,Goupix;Goupix d'Alola,Vulpix,Rokon???,38,fire,ice,65,,,24.6,Fox Pokémon,41,40,50,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,299,190,1000000,1,0,,
38,038_EB.png;038_Alola_LGPE.png,Feunard;Feunard d'Alola,Ninetales,Kyukon?????,73,fire,ice,109,,,24.6,Fox Pokémon,67,75,81,100,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,505,75,1000000,1,0,,
39,039_LGPE.png,Rondoudou,Jigglypuff,Purin???,115,normal,fairy,20,0.5,5.5,24.6,Balloon Pokémon,45,20,45,25,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,270,170,800000,1,0,,
40,040_LGPE.png,Grodoudou,Wigglytuff,Pukurin????,140,normal,fairy,45,1,12,24.6,Balloon Pokémon,70,45,85,50,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,435,50,800000,1,0,,
41,041_LGPE.png,Nosferapti,Zubat,Zubat????,40,poison,flying,55,0.8,7.5,50,Bat Pokémon,45,35,30,40,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,245,255,1000000,1,0,,
42,042_LGPE.png,Nosferalto,Golbat,Golbat?????,75,poison,flying,90,1.6,55,50,Bat Pokémon,80,70,65,75,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,455,90,1000000,1,0,,
43,043_LGPE.png,Mystherbe,Oddish,Nazonokusa?????,45,grass,poison,30,0.5,5.4,50,Weed Pokémon,50,55,75,65,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,320,255,1059860,1,0,,
44,044_LGPE.png,Ortide,Gloom,Kusaihana?????,60,grass,poison,40,0.8,8.6,50,Weed Pokémon,65,70,85,75,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,395,120,1059860,1,0,,
45,045_LGPE.png,Rafflesia,Vileplume,Ruffresia?????,75,grass,poison,50,1.2,18.6,50,Flower Pokémon,80,85,110,90,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,490,45,1059860,1,0,,
46,046_LGPE.png,Paras,Paras,Paras???,35,bug,grass,25,0.3,5.4,50,Mushroom Pokémon,70,55,45,55,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,285,190,1000000,1,0,,
47,047_LGPE.png,Parasect,Parasect,Parasect?????,60,bug,grass,30,1,29.5,50,Mushroom Pokémon,95,80,60,80,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,405,75,1000000,1,0,,
